method,transform,mean_success,mean_invariance_gap,audit_pass_rate,hidden_failure_case
aggregate_robustness,camera_yaw,0.685,0.104,0.662,1
aggregate_robustness,compliance_shift,0.604,0.184,0.050,0
aggregate_robustness,contact_frame_swap,0.552,0.234,0.000,0
aggregate_robustness,kinematic_relabel,0.574,0.214,0.006,0
aggregate_robustness,latency_delay,0.582,0.204,0.000,0
aggregate_robustness,lighting_texture,0.693,0.095,0.756,0
aggregate_robustness,object_identity_swap,0.612,0.177,0.044,0
encoder_equivariance,camera_yaw,0.759,0.030,1.000,0
encoder_equivariance,compliance_shift,0.679,0.110,0.631,0
encoder_equivariance,contact_frame_swap,0.586,0.202,0.000,0
encoder_equivariance,kinematic_relabel,0.648,0.140,0.244,0
encoder_equivariance,latency_delay,0.618,0.170,0.037,0
encoder_equivariance,lighting_texture,0.766,0.026,1.000,0
encoder_equivariance,object_identity_swap,0.692,0.097,0.762,0
stagewise_audit,camera_yaw,0.821,0.004,1.000,0
stagewise_audit,compliance_shift,0.742,0.048,0.988,0
stagewise_audit,contact_frame_swap,0.692,0.096,0.713,0
stagewise_audit,kinematic_relabel,0.712,0.074,0.869,0
stagewise_audit,latency_delay,0.719,0.068,0.938,0
stagewise_audit,lighting_texture,0.831,0.002,1.000,0
stagewise_audit,object_identity_swap,0.748,0.042,0.981,0
