threshold,policy_success,observed_success,success_delta,invariance_gap,stage_collapse,hidden_collapse,false_pass,localization_precision,localization_recall,action_stage_exposure,closed_loop_exposure,audit_coverage,audit_overhead,observer_utility,weight
q00,0.660186692925359,0.660186692925359,0.0,0.213045898094952,0.8566468253968254,0.2392857142857143,0.13670138888888764,0.8894546877789618,0.5060297496528131,0.1442976190476257,0.05177132936507583,0.42800000000003185,0.05749999999999207,0.6289051532232381,21139292160
q01,0.660186692925359,0.660186692925359,0.0,0.213045898094952,0.7925595238095238,0.20902777777777778,0.11905505952380761,0.8416093666943001,0.5406064442460645,0.1339236111111158,0.04774702380952057,0.42800000000003185,0.05749999999999207,0.6456356277325638,21139292160
q02,0.660186692925359,0.660186692925359,0.0,0.213045898094952,0.7509920634920635,0.19216269841269842,0.10911111111110855,0.8105734435193066,0.5629136860119389,0.1269623015873051,0.04559871031745743,0.42800000000003185,0.05749999999999207,0.6559184984202503,21139292160
q03,0.660186692925359,0.660186692925359,0.0,0.213045898094952,0.6707341269841269,0.15138888888888888,0.08620833333333128,0.7506415789918623,0.6061344176091602,0.11131448412698466,0.04263343253968014,0.42800000000003185,0.05749999999999207,0.6773441533425593,21139292160
q04,0.660186692925359,0.660186692925359,0.0,0.213045898094952,0.5580357142857143,0.0884920634920635,0.050628968253969835,0.6664503318060574,0.6656848123512292,0.09455456349206189,0.03900248015872835,0.42800000000003185,0.05749999999999207,0.7087257768297611,21139292160
