severity,policy_success,observed_success,success_delta,invariance_gap,stage_collapse,hidden_collapse,false_pass,localization_precision,localization_recall,action_stage_exposure,closed_loop_exposure,audit_coverage,audit_overhead,observer_utility,weight
v00,0.7004836272312891,0.7004836272312891,0.0,0.17859087282801694,0.648015873015873,0.32682539682539685,0.18662499999999896,0.7336500521395101,0.6202004983730273,0.11050476190476635,0.04221587301587035,0.4280000000000387,0.05750000000001731,0.6597378105354136,26424115200
v01,0.673229455253347,0.673229455253347,0.0,0.20146968072042779,0.7046825396825397,0.20547619047619048,0.11677103174603108,0.7759838951864233,0.5882329400001128,0.11873253968254563,0.044152380952378695,0.4280000000000387,0.05750000000001731,0.6655815881460333,26424115200
v02,0.6445796764697223,0.6445796764697223,0.0,0.22650267760646572,0.7596825396825397,0.10658730158730159,0.06077063492063434,0.8170593992785375,0.557180638293679,0.12731031746032506,0.0467424603174586,0.4280000000000387,0.05750000000001731,0.6663258241999009,26424115200
v03,0.6224540127470426,0.6224540127470426,0.0,0.24562036122490077,0.7907936507936508,0.0653968253968254,0.037197222222223006,0.8402901804276782,0.5394812112301726,0.13229444444445299,0.04829166666666527,0.4280000000000387,0.05750000000001731,0.6615781447573618,26424115200
