observability,policy_success,observed_success,success_delta,invariance_gap,stage_collapse,hidden_collapse,false_pass,localization_precision,localization_recall,action_stage_exposure,closed_loop_exposure,audit_coverage,audit_overhead,observer_utility,weight
o00,0.6601866929253453,0.6601866929253453,0.0,0.2130458980949508,0.7257936507936508,0.17607142857142857,0.17607142857142857,1.0,0.27420634920634923,0.0,0.0,0.0,0.009999999999993783,0.6248308094499869,26424115200
o01,0.6601866929253453,0.6601866929253453,0.0,0.2130458980949508,0.7257936507936508,0.17607142857142857,0.11274126984127204,0.7178868192542356,0.5126721038096866,0.023458730158725877,0.0059476190476191616,0.3440000000001273,0.03999999999997513,0.6498517831387227,26424115200
o02,0.6601866929253453,0.6601866929253453,0.0,0.2130458980949508,0.7257936507936508,0.17607142857142857,0.08892777777777396,0.7241440501631684,0.6322222860317929,0.21460753968257418,0.053528571428571016,0.5040000000000495,0.07000000000005659,0.6710813476532955,26424115200
o03,0.6601866929253453,0.6601866929253453,0.0,0.2130458980949508,0.7257936507936508,0.17607142857142857,0.023623412698412397,0.7249526576148847,0.8859945488489048,0.2507757936508273,0.12192619047618312,0.8639999999995921,0.10999999999994522,0.7074594273966893,26424115200
