policy,policy_success,observed_success,success_delta,invariance_gap,stage_collapse,hidden_collapse,false_pass,localization_precision,localization_recall,action_stage_exposure,closed_loop_exposure,audit_coverage,audit_overhead,observer_utility,weight
action_frame_calibrated,0.6713325838347696,0.6713325838347696,0.0,0.18789089742044165,0.7523611111111111,0.2684722222222222,0.15385763888888482,0.8115718074638792,0.5615973333333494,0.08351111111110586,0.05689097222221932,0.4280000000000193,0.057499999999981975,0.6453905478838721,15099494400
aggregate_robust,0.609911973223771,0.609911973223771,0.0,0.3193869431791681,0.9916666666666667,0.10138888888888889,0.05800069444444556,0.9902495772019424,0.4325311760416859,0.16472777777778028,0.060703472222218696,0.4280000000000193,0.057499999999981975,0.6062632920223321,15099494400
closed_loop_invariant,0.6810930003048434,0.6810930003048434,0.0,0.16711769866225384,0.6784722222222223,0.2726388888888889,0.14630555555555066,0.7569454801851652,0.6220965522222335,0.11362916666666381,0.01715625000000018,0.4280000000000193,0.057499999999981975,0.6650924709222703,15099494400
data_augmented,0.64062296011698,0.64062296011698,0.0,0.26307640691883327,0.9502777777777778,0.19583333333333333,0.11282013888888748,0.9592907588562426,0.45293060562502313,0.16194166666666868,0.060152777777774336,0.4280000000000193,0.057499999999981975,0.6097254425999308,15099494400
encoder_equivariant,0.6314179270217073,0.6314179270217073,0.0,0.26891685486196776,0.8476388888888889,0.1575,0.0932729166666671,0.8824303842443861,0.49730940986113387,0.16424722222222465,0.0607458333333298,0.4280000000000193,0.057499999999981975,0.6311308894650182,15099494400
memory_consistent,0.6562190279914188,0.6562190279914188,0.0,0.22405233999190172,0.8183333333333334,0.2175,0.1268513888888868,0.8605443606325011,0.5184024886806069,0.15920277777777925,0.05867013888888569,0.4280000000000193,0.057499999999981975,0.6369458263798539,15099494400
oracle_staged_invariant,0.730709377984194,0.730709377984194,0.0,0.060880145630095035,0.041805555555555554,0.019166666666666665,0.011278472222222204,0.28118880372265936,0.9490491880555706,0.00821388888888892,0.0031347222222222197,0.4280000000000193,0.057499999999981975,0.8485924240944188,15099494400
